Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975
Electricity Generation,57389.7,57113.7,55788.3,53071.6,54142.3,52904.8,52225.8,51586.6,50271.6,49309.7,47963.5,46936.2,45999.4,45366.5,41800.6,41670.3,41134.1,39480.4,38212.7,36809.6,35281.5,34664.6,33061,31665,29520.1,28374.8,26709.4,23909.4,22057.4,20675.4,18962.4,17543.1,16596.6,15617.6,14038.9,13017.5,11813.8,10576.5,9876.3,9420.7,8625.9,7859.5,7441.9,6940.5,6447.8,5897.9,5114.7,4604.9,4175.7
Electricity Consumption,na,54884.9,53483.3,50779.5,51730.1,50460.9,49637.9,48623,47513.9,46403,44948.8,44200.7,43007.1,42251.8,38822.9,38986.9,38304.9,36801.8,35489.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Industrial-Related,na,22693.9,22292.7,20979,21463.9,21439.8,21240.4,20418.4,20088,19753.2,18842.8,18572.5,18077.5,17662.6,15570.3,16030.9,15819,15115.4,14509,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Manufacturing,na,20682.1,20284.6,19121.2,19441,19443.4,19309,18368,18277.6,17989,17237.4,17112.4,16752.4,16448,14539.7,15032.7,14943.2,14397.2,13836.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Construction,na,464.5,472,386.8,395.1,429.7,483.4,551.6,531,527.1,490.5,443.7,363,337.8,308.3,300.9,279.1,250.5,234.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Utilities,na,1490.7,1481.9,1418.7,1574.5,1518.7,1401.7,1453,1237.2,1198,1074.8,978.9,928.5,843.4,691.9,668.4,569.2,441.8,411,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Industrial-Related,na,56.6,54.3,52.4,53.3,48.1,46.4,45.9,42.2,39.2,40.1,37.5,33.6,33.3,30.4,29,27.5,25.9,27.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Commerce And Service-Related,na,21187.3,19837.7,18517.7,19319,18583.8,18060,17699.6,17481,17046.6,16718.6,16366.1,15876.3,15469.7,14800.1,15004.6,14520.6,13785.7,13075.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Wholesale And Retail Trade,na,2253.5,2226.8,2180.9,2265.4,2316.5,2282.5,2073.3,2107.4,2020.5,1967.1,1909.4,1898.8,1923,1821.4,1924.7,1891.9,1977.2,2109.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Accommodation And Food Services,na,1441.5,1328.1,1289.1,1523.3,1465.2,1406.2,1453.1,1350.2,1332.3,1326.6,1275.1,1251.4,1219.6,1169.2,1171.7,1131.5,1087,1031.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information And Communications,na,4852.4,4028.9,3083.3,2492,2227.7,1860,1848,1426.7,1294.5,1149.1,1084.4,988.6,925.5,866,844.5,761.2,708.7,667.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Financial And Insurance Activities,na,2341.7,2271.8,2152.2,2380.6,2321.1,2408.3,2361,2718.1,2574.1,2257.9,2204.2,2003.2,1927,1865.4,2014.9,2014.6,1659.7,1291.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Real Estate Activities,na,4714.6,4616.8,4547.1,4865.1,4673.7,4669,4496.6,4454.6,4485.7,4532.4,4522.6,4454.7,4346.2,4050.8,3931.2,3810,3780.8,3712.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Professional, Scientific & Technical, Administration & Support Activities",na,949.4,823.4,801.4,808.3,722.3,690.9,684.4,713.7,681,932.7,930.8,934.1,885.8,778.4,842,834.2,740.5,650.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Commerce And Service-Related,na,4634.2,4541.9,4463.7,4984.3,4857.2,4743.1,4783.1,4710.3,4658.5,4552.8,4439.6,4345.4,4242.7,4248.8,4275.7,4077.2,3831.8,3612.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transport-Related,na,2899.7,2844.6,2809,3019.2,2947.4,2771.1,2639.1,2444.8,2441,2369.1,2328.6,2224.2,2098.7,1607.8,1399.8,1300.2,1245.4,1200,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Households,na,7911,8277.7,8244.5,7681.3,7231.5,7289.9,7585.8,7220.9,6924.4,6754.9,6629.5,6482.7,6636,6430.8,6094,6163.7,6109.1,6092.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Others,na,192.9,230.8,229.3,246.8,258.4,276.5,280,279.1,237.7,263.4,304,346.5,384.8,413.9,457.6,501.5,546.2,612.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
